,Restaurant_Id,Name,Rate,Count of Rates,deliveryTime
0,483,رستوران نیدا لانژ,4.13,16.0,20 تا 40 دقیقه
96,681,فست فود تی تی هات,3.77,78.0,40 تا 55 دقیقه
126,861,فست فود چیزی لاو,4.0,34.0,30 تا 45 دقیقه
209,340,رستوران بلو لایف تهران,0.0,0.0,25 تا 45 دقیقه
254,462,رستوران مطبخ شمرون,3.63,19.0,25 تا 45 دقیقه
342,264,جگر سرای آندراج,3.83,12.0,95 تا 145 دقیقه
360,685,فست فود تیک آبی,4.56,9.0,25 تا 45 دقیقه
419,654,فست فود بلوط,4.04,249.0,50 تا 60 دقیقه
428,476,رستوران نایب,4.41,491.0,40 تا 50 دقیقه
578,707,فست فود دراگون,4.29,194.0,30 تا 50 دقیقه
602,345,رستوران بوکا,4.51,264.0,35 تا 55 دقیقه
709,961,پیتزا پاپیون,4.44,502.0,25 تا 50 دقیقه
808,711,فست فود دهه شصت,3.73,55.0,30 تا 45 دقیقه
851,653,فست فود بلوبرگر,4.21,191.0,45 تا 55 دقیقه
894,977,چلوکباب ناب,4.03,200.0,25 تا 50 دقیقه
896,21,  تهران برگر,4.52,124.0,30 تا 50 دقیقه
979,704,فست فود دانوب,3.94,189.0,20 تا 45 دقیقه
983,733,فست فود سوخاری برگر,3.58,24.0,32 تا 52 دقیقه
1026,954,پیتزا هات,3.67,123.0,35 تا 50 دقیقه
1428,665,فست فود بیست تیک,3.72,150.0,55 تا 60 دقیقه
1465,602,فست فود VIP ظفر,3.95,137.0,25 تا 55 دقیقه
1508,555,رستوران گل یخ,3.69,501.0,20 تا 40 دقیقه
1518,36,  ذغالی برگر پارک,4.29,73.0,45 تا 55 دقیقه
1570,743,فست فود سیوان,4.26,136.0,30 تا 65 دقیقه
1612,6,  آفرود برگر,4.07,86.0,39 تا 61 دقیقه
1640,451,رستوران مالیبو,4.28,69.0,50 تا 85 دقیقه
1675,1078,کبابسرای توچال,3.43,14.0,20 تا 40 دقیقه
1819,934,پیتزا خانه,3.2,51.0,25 تا 40 دقیقه
1823,870,فست فود کاخک تیامو,4.13,264.0,25 تا 70 دقیقه
1847,200,تهیه غذای جوان,4.26,133.0,25 تا 55 دقیقه
1983,96,  کافه ساندویچی وان,3.65,86.0,50 تا 60 دقیقه
2070,1161,کته کباب طبرستان,3.99,252.0,70 تا 100 دقیقه
2129,683,فست فود تیاکو,4.63,81.0,40 تا 55 دقیقه
2153,418,رستوران صد و ده,4.03,58.0,30 تا 43 دقیقه
2187,803,فست فود مکروم,3.97,111.0,40 تا 60 دقیقه
2199,551,رستوران گردو,4.35,40.0,45 تا 75 دقیقه
2234,44,  سوخاری مهدی,4.27,286.0,45 تا 55 دقیقه
2252,1148,کترینگ پارسی,3.9,183.0,55 تا 60 دقیقه
2342,834,فست فود ونک,3.68,71.0,30 تا 50 دقیقه
2354,1157,کترینگ کریمخان (غفاری سابق),3.86,262.0,45 تا 50 دقیقه
2401,866,فست فود ژینر,4.14,37.0,20 تا 40 دقیقه
2452,285,رستوران آواچی,4.23,127.0,30 تا 60 دقیقه
3129,176,برگر مزرعه برگر,4.16,19.0,20 تا 40 دقیقه
3237,577,سوخاری آریو,4.39,377.0,35 تا 60 دقیقه
3272,923,پیتزا آیدا,4.29,14.0,15 تا 55 دقیقه
3283,105,  کبابخانه موسوی,4.52,92.0,40 تا 75 دقیقه
3414,316,رستوران ایتالیایی سورینو,4.26,43.0,50 تا 75 دقیقه
3435,748,فست فود شعله,4.03,74.0,30 تا 45 دقیقه
3449,841,فست فود پاییز,4.11,81.0,50 تا 80 دقیقه
3511,218,تهیه غذای سهیل,4.64,83.0,20 تا 50 دقیقه
3545,584,غذاکده مائده,4.17,46.0,45 تا 60 دقیقه
3563,237,تهیه غذای قلیه سرای بوشهری,3.8,5.0,30 تا 51 دقیقه
3606,964,پیتزا پیشخوان,3.9,58.0,40 تا 60 دقیقه
3698,63,  مرغ سوخاری دی,4.43,2527.0,35 تا 65 دقیقه
4609,177,بستنی جلاتو هاوس GelatoHouse,4.7,1377.0,15 تا 80 دقیقه
5065,561,رستوران گیلانه,4.36,321.0,50 تا 75 دقیقه
5545,827,فست فود هیوا,4.54,987.0,45 تا 55 دقیقه
5837,356,رستوران توتیا,3.87,865.0,45 تا 60 دقیقه
5865,1031,کافه رستوران هشت (Eight),4.24,323.0,45 تا 80 دقیقه
5870,857,فست فود چهار پنج شش,4.4,208.0,30 تا 50 دقیقه
5886,479,رستوران نمونه تهران,4.45,117.0,30 تا 55 دقیقه
5929,853,فست فود پیلوت,3.59,41.0,25 تا 50 دقیقه
6002,556,رستوران گلزار,4.01,139.0,40 تا 60 دقیقه
6130,370,رستوران خانه کوچک,4.34,719.0,35 تا 60 دقیقه
6584,224,تهیه غذای شاران,4.45,182.0,35 تا 60 دقیقه
6601,836,فست فود ویس لند,4.24,1589.0,45 تا 65 دقیقه
6836,23,  جوان,4.39,406.0,45 تا 55 دقیقه
7057,446,رستوران قیمه قرمه,4.3,324.0,40 تا 65 دقیقه
7208,554,رستوران گل محمدی,2.73,59.0,25 تا 65 دقیقه
7258,1029,کافه رستوران نایریکا,4.06,96.0,30 تا 55 دقیقه
7324,937,پیتزا در ب در,4.05,341.0,40 تا 70 دقیقه
7531,682,فست فود تیان,4.39,95.0,30 تا 60 دقیقه
7559,1137,کترینگ قائم,4.72,135.0,40 تا 60 دقیقه
7572,922,پیتزا آهو,4.14,147.0,40 تا 50 دقیقه
7644,619,فست فود آمادو,4.0,234.0,35 تا 65 دقیقه
7684,243,تهیه غذای مرشد چلویی,4.39,4595.0,30 تا 50 دقیقه
7830,298,رستوران الو کباب,4.23,65.0,35 تا 60 دقیقه
7835,936,پیتزا دانی,4.27,167.0,35 تا 50 دقیقه
7850,609,فست فود آرتین,4.2,120.0,35 تا 60 دقیقه
