,Name,Rate,Count of Rates,deliveryTime,City Name,Address,Latitude,Longitude
0,کافه رستوران نایریکا,4.06,96.0,"30 , 55 min",تهران,"خیابان پونک، خیابان مخبری (35 متری گلس,ن)، نرسیده به سردار جنگل، پلاک 79",35.75617686558094,51.32493878714741
1,رستوران شاندیز گالریا,4.73,75.0,"35 , 65 min",تهران,خیابان ولنجک، خیابان13، پلاک 5، طبقه 6,35.80741619412945,51.40486836433411
2,رستوران چاشنی,3.9,102.0,"60 , 90 min",تهران,شریعتی، ابتدای دولت، جنب حسینیه یزدی ها، پلاک 403,35.777940581219,51.443020105361946
3,رستوران طهرونچی,4.16,43.0,"40 , 60 min",تهران,خیابان میرداماد، کوچه دفینه، رستوران طهرونچی,35.76208626342791,51.41370641067625
4,آش و حلیم سید مهدی,3.99,123.0,"40 , 55 min",تهران,اندرزگو، نرسیده به میدان صالحی، پلاک 16,35.80163564783605,51.45850181579591
5,کافه نفس,4.32,56.0,"20 , 40 min",تهران,خیابان انقلاب، خیابان وصال شیرازی، پلاک 7,35.701378879239584,51.400335788639495
6,رستوران دمکافه,3.75,8.0,"15 , 25 min",تهران,جردن، خیابان عاطفی شرقی، پلاک 18,35.77198669482197,51.421551704406745
7,کافه پارادیزو,0.0,0.0,"25 , 45 min",تهران,تهران، خیابان مطهری، خیابان مهرداد، پلاک 12,35.7231056244065,51.42939627126908
8,کافه GRAB & GO,4.6,5.0,"25 , 45 min",تهران,"تهران، خیابان پاسداران، خیابان تنگس,ن چهارم، مجتمع اداری حیات سبز، طبقه همکف دوم، واحد 2",35.80591091407218,51.47035717964173
9,"رستوران آما,",4.1,49.0,"25 , 45 min",تهران,بلوار آرش شرقی به سمت مدرس، بعد از فرید افشار، پلاک 21، آشپزخانه مسجد امام حسن عسگری,35.769990360392136,51.42498850735138
10,کافه کانکشن,0.0,0.0,"25 , 45 min",تهران,"شمس آباد، اس,د حسن بنا شمالی، نرسیده به میدان ملت، 3 راه پیاله، ابتدای خیابان ابوالحسنی، پلاک 129",35.752105261504816,51.47489905335534
11,فست فود بلوط,4.04,249.0,"50 , 60 min",تهران,باغ فیض، خیابان 22بهمن، خیابان شهید ناطق نوری، پایین تر از امام زاده,35.74786338189138,51.32554292657006
12,رستوران نایب,4.41,491.0,"40 , 50 min",تهران,سعادت آباد، میدان کاج، مرکز تجاری ابریشم,35.782605888238145,51.37554645538331
13,فست فود دراگون,4.29,194.0,"30 , 50 min",تهران,"مجیدیه شمالی، خیابان اس,د حسن بنا،پایین تر از میدان ملت،پلاک 703",35.75292299120052,51.47524416446687
14,رستوران بوکا,4.51,264.0,"35 , 55 min",تهران,نیاوران، شمال کاخ نیاوران، خیابان پور ابتهاج، پلاک 303,35.81342832876107,51.47515833377838
15,پیتزا پاپیون,4.44,502.0,"25 , 50 min",تهران,گیشا، نبش خیابان 31,35.737394853670054,51.37623846530914
